score,bag_type,recycleRefundChoice,refundAmountMultiplicationFactor,choices1,choices2,choices3,choices4,choices5,choices6,choices7,choices8,choices9,choices10,choices11,choices12,choices13,choices14,choices15,choices16,choices17,choices18,choices19,choices20,choices21,choices22,choices23,choices24,choices25,choices26,choices27,choices28,choices29,choices30,choices31
-15989,4,1,0.28405208204736043,2,2,0,1,2,1,2,2,2,1,0,1,0,0,2,0,1,2,0,1,0,1,1,1,2,1,0,2,1,1,0
-17360,4,0,0.5000492010781099,2,1,2,2,2,1,1,1,2,2,2,2,0,2,1,0,1,1,2,1,0,2,1,2,1,2,0,1,0,0,2
-10819,3,1,0.7079086695157317,2,1,1,1,2,2,2,0,0,1,0,2,1,0,1,0,2,2,2,2,2,0,0,1,0,1,1,2,0,2,0
-6346,3,1,0.5371837689266044,0,0,0,0,1,1,1,0,2,0,1,0,2,1,0,2,1,1,2,2,0,1,1,2,0,1,0,0,1,2,2
-10139,3,1,0.8032321474625292,2,0,2,0,0,2,1,2,1,2,0,0,1,1,1,1,0,2,0,2,2,1,2,0,1,1,1,2,2,1,0
6293,1,1,0.5318683311939755,1,1,0,0,2,2,1,1,0,1,0,2,0,0,2,0,2,2,0,2,1,2,1,2,0,1,0,2,1,1,1
-14280,4,1,0.2828224830047036,0,2,0,0,0,2,1,1,0,0,1,1,0,0,2,2,1,2,2,2,0,0,0,0,0,2,0,1,1,1,0
10277,2,0,0.8146222298396232,0,1,0,1,1,0,2,1,2,0,0,1,0,1,0,1,1,0,1,0,0,2,0,2,0,2,0,0,0,1,0
12632,2,0,0.215027974803772,2,0,0,0,2,1,1,1,1,2,2,1,1,0,2,1,1,2,1,1,1,0,1,0,0,1,1,0,0,2,1
-1292,3,0,0.19345617788079927,0,1,0,0,2,2,2,0,1,1,1,0,1,2,1,1,1,2,2,0,0,2,2,0,1,1,0,0,1,2,1
-16092,4,0,0.7248868003872154,0,0,2,2,1,1,2,0,2,1,2,0,1,1,1,0,2,0,0,1,0,0,0,1,2,1,0,1,0,1,0
-1642,3,1,0.24019299480520062,1,2,2,0,2,0,2,2,0,0,0,0,0,0,1,0,1,2,2,2,2,0,2,0,1,2,2,1,2,2,1
-7560,3,0,0.09736941780509312,2,1,2,2,2,2,0,1,1,2,1,1,1,1,2,1,1,2,2,0,0,1,1,0,2,0,0,1,2,0,1
-2195,3,1,0.8470997185897107,2,0,2,0,1,2,0,2,0,0,0,1,1,2,0,0,1,1,2,1,2,1,2,2,2,1,0,0,0,1,2
1267,3,0,0.38467425859251503,0,2,0,0,2,1,1,2,1,0,2,1,0,0,0,0,0,2,2,2,2,0,1,1,1,1,2,1,2,2,2
10028,2,0,0.7365793108099579,1,1,1,1,1,0,0,0,2,1,0,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,0,1,2
7524,2,0,0.9649355229977696,1,1,2,2,1,2,2,0,2,0,1,0,2,0,2,2,2,2,1,0,2,0,0,2,1,2,0,1,1,1,0
3177,1,1,0.7474359625407031,0,0,0,2,2,2,1,1,0,0,0,0,1,0,1,2,1,1,1,0,1,1,1,2,2,1,2,2,2,1,0
-10811,3,0,0.9369091107649283,0,2,0,1,2,0,1,2,2,2,0,2,2,2,2,1,2,2,2,0,2,2,1,1,0,2,0,2,1,0,2
-4020,3,1,0.5608306037828966,0,2,1,0,2,1,1,0,0,0,0,0,1,2,0,0,2,2,2,1,1,1,2,2,2,2,2,0,0,0,1
-15218,4,0,0.1051207151229625,1,1,0,0,2,0,2,0,0,2,1,2,2,0,2,1,2,0,2,0,2,2,2,1,1,1,1,0,1,0,2
5913,1,1,0.5381761403473211,0,0,2,2,1,2,0,1,2,1,2,1,1,0,2,1,0,1,2,0,1,2,1,0,2,2,1,0,0,2,2
-16765,4,1,0.9786880107068112,0,1,1,0,1,2,2,0,1,2,1,2,2,1,1,0,0,0,0,1,2,1,1,2,1,1,2,1,1,2,2
-1814,1,0,0.9164111224788716,2,1,0,1,1,2,0,0,1,0,1,0,2,0,1,2,2,1,2,2,0,2,0,1,0,2,1,1,2,1,2
12888,2,1,0.8251755090030823,0,2,0,0,1,1,0,1,0,1,0,0,0,1,0,2,2,1,1,2,1,2,2,2,0,0,1,0,0,1,1
10642,2,1,0.46036538955479367,2,1,0,2,2,2,0,2,1,2,1,0,1,0,0,0,0,2,0,1,1,2,0,2,0,1,2,0,2,1,0
534,1,1,0.9490189393110019,1,0,0,2,0,0,1,0,1,0,1,1,0,2,2,2,2,2,1,2,2,2,2,2,0,2,1,1,1,2,0
-862,3,1,0.48500760286641387,2,1,1,0,0,1,2,1,2,0,0,2,2,2,0,2,0,2,1,0,0,1,2,2,1,1,0,1,2,1,2
-3729,1,1,0.9643102120215348,1,2,1,0,0,1,0,1,0,2,2,1,1,1,1,1,0,1,1,2,0,2,0,0,1,0,0,0,0,0,1
2884,1,1,0.09618358105444225,1,1,1,0,2,1,2,1,0,1,0,2,0,2,1,2,2,1,1,2,2,1,1,1,0,0,1,1,2,1,1
-15646,4,0,0.19291898930669726,2,0,0,1,2,1,0,1,2,2,1,1,0,0,1,2,1,1,1,0,1,2,1,2,0,0,2,1,0,0,1
2537,1,0,0.1340212082680704,2,2,2,1,2,0,1,1,2,1,2,1,2,0,1,2,2,0,1,2,2,1,1,2,0,1,0,0,1,0,1
-417,2,0,0.6284447470108958,1,0,1,2,1,2,2,1,2,1,1,2,2,1,1,1,1,1,0,0,1,0,1,0,0,1,2,1,0,2,1
2524,1,0,0.5035770318864266,1,2,2,2,0,1,0,2,0,1,0,1,2,1,2,2,0,0,0,0,2,1,2,1,1,2,1,0,2,0,0
-9746,3,0,0.9023655682047746,1,1,0,1,2,0,2,1,2,0,0,0,0,0,2,1,1,1,1,1,1,0,2,2,0,2,2,1,1,0,2
8432,2,1,0.5700158795438723,2,1,1,2,1,2,0,0,1,0,2,2,2,0,2,2,0,1,1,1,0,0,0,2,1,0,2,2,0,2,1
-16557,4,1,0.6059748101101827,0,2,2,1,1,2,2,2,1,2,2,1,0,2,2,1,0,0,0,1,0,0,2,1,1,2,1,1,1,2,0
-16715,4,1,0.9923490474259873,1,2,2,1,2,2,0,2,0,0,1,0,1,2,2,1,0,1,1,2,1,2,2,1,1,0,1,1,2,0,2
-15351,4,1,0.508616241540898,0,1,0,0,2,1,1,0,2,2,0,0,0,2,1,1,2,2,0,0,2,0,1,0,0,0,0,2,1,2,1
-1986,3,0,0.44791655039331135,0,2,2,1,1,0,2,2,1,2,0,0,2,2,2,2,0,0,1,1,1,0,1,0,0,2,0,1,1,0,2
2144,1,0,0.3914156577610358,1,0,1,2,1,2,1,2,2,2,2,0,2,2,0,1,1,1,2,2,2,1,2,0,0,0,2,2,0,0,0
-1855,1,1,0.6437617854147453,2,1,1,1,2,0,1,0,0,1,2,1,0,0,0,0,0,1,2,2,1,1,1,0,1,2,2,2,2,1,1
4014,1,0,0.14943895662609696,0,0,2,1,0,0,2,1,1,2,0,0,0,0,2,1,0,2,0,1,2,2,0,0,0,1,1,2,0,1,2
13587,2,1,0.10583271690685048,0,2,2,0,0,0,1,1,2,2,0,1,1,2,2,0,2,1,1,0,2,1,2,1,0,1,1,2,0,2,1
-16785,4,0,0.864662502984266,2,2,1,2,2,1,0,2,1,1,0,0,2,0,1,1,1,2,2,1,2,2,0,2,1,0,2,0,0,0,0
2707,1,1,0.01789946485991878,2,1,1,1,2,0,1,1,1,2,0,2,2,2,1,0,1,1,1,0,0,0,1,0,2,0,2,2,0,2,0
-9540,3,0,0.8485750111023287,0,1,1,1,0,1,1,2,2,0,1,0,1,0,1,2,1,2,2,1,2,2,1,0,0,0,2,0,2,1,0
-16364,4,1,0.2813179055259951,1,1,1,2,0,1,1,2,0,0,2,1,2,2,0,2,2,1,0,1,2,0,0,1,0,1,2,1,2,1,1
